source_id,stream,doi,year,title,authors,decision,reason_code,analysis_level,license,redistribution_status,query_stream,notes
W37-A009,S2,10.1021/acs.energyfuels.7b00353,2017,"Review on Surfactant Flooding: Phase Behavior, Retention, IFT, and Field Applications",Muhammad Shahzad Kamal; Ibnelwaleed A. Hussein; Abdullah S. Sultan,maybe,review_for_discovery_only,abstract,,unknown,S2,openalex_filtered; machine_extracted
W37-A010,S6,10.1063/1.473820,1997,"Molecular dynamics study of water clusters, liquid, and liquid–vapor interface of water with many-body potentials",Liem X. Dang; Tsun-Mei Chang,include,,abstract,,unknown,S6,openalex_filtered; machine_extracted
W37-A011,S4,10.1002/2014wr015553,2014,CO 2 wettability of seal and reservoir rocks and the implications for carbon geo-sequestration,Stefan Iglauer; Christopher H. Pentland; Andreas Busch,include,,abstract,,unknown,S4,openalex_filtered; machine_extracted
W37-A012,S4,10.2118/17367-pa,1991,Wettability: Fundamentals and Surface Forces,G. J. Hirasakl,include,,abstract,,unknown,S4,openalex_filtered; machine_extracted
W37-A013,S2,10.1021/acsami.9b22189,2020,Brine-Oil Interfacial Tension Modeling: Assessment of Machine Learning Techniques Combined with Molecular Dynamics,Kirch; Celaschi; Almeida; Miranda,include,,abstract,unknown_acs,restricted,S2,seed SRC0007; MD+ML IFT; random-row accuracy insufficient novelty
W37-A014,S5,10.1021/acs.iecr.2c04561,2023,FeOs: An Open-Source Framework for Equations of State and Classical Density Functional Theory,open FeOs authors,include,,metadata,open_source_verify,allowed,S5,seed SRC0021; physical baseline software
W37-A015,S1,10.1351/pac200678030541,2006,ThermoML IUPAC Recommendations 2006,Frenkel et al.,include,,pdf_extracted_first_pages,public-domain_unpaywall,allowed,S1,seed SRC0026; local PDF W37-P001
W37-A016,S1,10.5281/zenodo.21118257,2026,DST-SurfDB Dynamic Surface Tension Database of Surfactants,DST-SurfDB,include,,metadata_dataset,cc_by_4_0,allowed,S3,seed SRC0005; 979 series; not a journal article
W37-A017,S2,10.2118/7054-pa,1979,Optimum Formulation of Surfactant/Water/Oil Systems for Minimum Interfacial Tension or Phase Behavior,Salager; Morgan; Schechter; Wade; Vasquez,include,,abstract,,unknown,S2,openalex_filtered; foundational IFT optimum
W37-A018,S3,10.1016/s0001-8686(99)00017-2,2000,Dynamic surface tension and adsorption mechanisms of surfactants at the air-water interface,Eastoe; Dalton,include,,metadata,,unknown,S3,duplicate_of_A005_check; keep one if duplicate

